codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
777,ACCONCIANGIOCO & MANADRA SNC,,USCITE_VARIE_EXT,False,False,,ORTI
779,FORNITORE ANTE 2024,,USCITE_VARIE_EXT,False,False,,ORTI
781,COMUNE DI MAIORI,,USCITE_TASSE,False,False,,ORTI
782,DELLA PIETRA ANNAMARIA,,USCITE_CANONE_PASSIVO,False,False,,ORTI
783,DELLA PIERTA PAOLA,,USCITE_CANONE_PASSIVO,False,False,,ORTI
796,RAIA,,USCITE_VARIE_EXT,False,False,,ORTI
863,SALA,,USCITE_VARIE_EXT,False,False,,ORTI
963,CSW Engineering s.r.l,,USCITE_VARIE_EXT,False,False,,ORTI
994,InfoCamere S.C.p.A.,,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
1027,CAFARELLI MASSIMILIANO,,USCITE_VARIE_EXT,False,False,,ORTI
1033,EURO GROUP NETWORK S.R.L.,EURO GROUP NETWORK S.R.L.,USCITE_MATERIE_PRIME,False,False,,ORTI
1034,ORIL SRL,,USCITE_VARIE_EXT,False,False,,ORTI
1048,MEDITERRANEO SNC DI TRAMONTANO,Mediterraneo,USCITE_MATERIE_PRIME,False,False,,ORTI
1054,O.V.I.T. SRL,,USCITE_VARIE_EXT,False,False,,ORTI
1069,TOPWHITE DI DANIELE RAVELLI,,USCITE_MATERIE_PRIME,False,False,,ORTI
1214,VDA GROUP S.p.A. a socio unico,,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
1426,RASTELLI ANTONIA,Rastrelli Antonia,USCITE_MATERIE_PRIME,False,False,,ORTI
1546,Geologo Antonio Apicella,Geologo Antonio Apicella,USCITE_CONSULENZE,False,False,,ORTI
1576,A.M.C.N. COSTRUZIONI SRL,,USCITE_VARIE_EXT,False,False,,ORTI
1592,FASTWEB SPA,Fastweb,USCITE_UTENZE,False,False,,ORTI
1606,NUOVA SIDAP S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
1607,LAUDATO GRU DI LAUDATO,,USCITE_VARIE_EXT,False,False,,ORTI
123,PREGIS S.P.A.,PREGIS S.P.A.,USCITE_VARIE_EXT,False,False,,ORTI
1638,CENTRO MODA S.R.L.,CENTRO MODA S.R.L.,USCITE_VARIE_EXT,False,False,,ORTI
131,Amalfiweb S.r.l.s.,Amalfiweb S.r.l.s.,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
1697,MARR SPA,MARR SPA,USCITE_MATERIE_PRIME,False,False,,ORTI
132,STUDIO QUATTRO S.R.L.,STUDIO QUATTRO S.R.L.,USCITE_CONSULENZE,False,False,,ORTI
1306,VITAGLIANO MAURIZIO,VITAGLIANO MAURIZIO,USCITE_CONSULENZE,False,False,,ORTI
109,MEDIAMARKET S.P.A. CON SOCIO UNICO,MEDIAMARKET S.P.A. CON SOCIO UNICO,USCITE_VARIE_EXT,False,False,,ORTI
1646,DIECI S.R.L.S.,DIECI S.R.L.S.,USCITE_VARIE_EXT,False,False,,ORTI
1183,ADRA S.R.L.,ADRA S.R.L.,USCITE_VARIE_EXT,False,False,,ORTI
1626,ROSANTO S.R.L.,ROSANTO S.R.L.,USCITE_VARIE_EXT,False,False,,ORTI
1036,Re Denari di Marco Oliva & C. Sas,Re Denari di Marco Oliva & C. Sas,USCITE_VARIE_EXT,False,False,,ORTI
138,SAL DE RISO COSTA D AMALFI S.R.L.,SAL DE RISO COSTA D AMALFI S.R.L.,USCITE_MATERIE_PRIME,False,False,,ORTI
744,Nola Ferramenta Srl,Nola Ferramenta Srl,USCITE_VARIE_EXT,False,False,,ORTI
1078,Intesa Sanpaolo S.p.a,Intesa Sanpaolo S.p.a,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
170,Leroy Merlin Italia srl,Leroy Merlin Italia srl,USCITE_VARIE_EXT,False,False,,ORTI
179,FERRIGNO MARIA C S N C,FERRIGNO MARIA C S N C,USCITE_VARIE_EXT,False,False,,ORTI
70,MAGALDI LIFE SRL SOC. UNIP.,MAGALDI LIFE SRL SOC. UNIP.,USCITE_VARIE_EXT,False,False,,ORTI
1674,SCANNAPIECO IMPIANTI SRL,SCANNAPIECO IMPIANTI SRL,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
1647,HAIR GALLERY EUROPE SRL,HAIR GALLERY EUROPE SRL,USCITE_VARIE_EXT,False,False,,ORTI
1699,ACQUAVERDE SRL,ACQUAVERDE SRL,USCITE_MATERIE_PRIME,False,False,,ORTI
1696,READYPRINT DI PIPITONE BRUNO,READYPRINT DI PIPITONE BRUNO,USCITE_VARIE_EXT,False,False,,ORTI
654,GOOGLE CLOUD ITALY S.R.L.,GOOGLE CLOUD ITALY S.R.L.,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
1693,JoAnne Dunn Photographers,JoAnne Dunn Photographers,USCITE_CONSULENZE,False,False,,ORTI
264,PANORAMA COMPANY S.R.L.,PANORAMA COMPANY S.R.L.,,False,True,intercompany,INTUR
779,FORNITORE ANTE 2024,FORNITORE ANTE 2024,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
716,CERAMICA D'ARTE SICIGNANO SRL,CERAMICA D'ARTE SICIGNANO SRL,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
85,TECNO CAMPANIA SRL,TECNO CAMPANIA SRL,,False,True,una_tantum,INTUR
863,SALA GIANPIERO,SALA GIANPIERO,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
781,COMUNE DI MAIORI,COMUNE DI MAIORI,USCITE_TASSE,False,False,,INTUR
777,ACCONCIANGIOCO & MANADRA SNC,ACCONCIANGIOCO & MANADRA SNC,USCITE_VARIE_EXT,False,False,,INTUR
1269,MARIGLIANO SALVATORE,MARIGLIANO SALVATORE,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1672,OMBRELLONI LETTINI ITALIA S.R.L.,OMBRELLONI LETTINI ITALIA S.R.L.,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1592,FASTWEB SPA,FASTWEB SPA,USCITE_UTENZE,False,False,,INTUR
73,DELLA PIETRA STEFANO,DELLA PIETRA STEFANO,USCITE_SALARI,False,False,,INTUR
1214,VDA GROUP S.p.A. a socio unico,VDA GROUP S.p.A. a socio unico,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
783,DELLA PIERTA PAOLA,DELLA PIERTA PAOLA,USCITE_CANONE_PASSIVO,False,False,,INTUR
782,DELLA PIETRA ANNAMARIA,DELLA PIETRA ANNAMARIA,USCITE_CANONE_PASSIVO,False,False,,INTUR
1662,Indel B Spa,Indel B Spa,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1642,C. & G. ATTIANESE s.r.l.,C. & G. ATTIANESE s.r.l.,USCITE_VARIE_EXT,False,False,,INTUR
18,AUSINO - S.P.A. SERVIZI IDRICI INTEGRATI,Ausino - rateizzo,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
649,Guariniello Lorenzo,Guariniello Lorenzo,USCITE_CONSULENZE,False,False,,INTUR
41,Giordano Associati S.r.l Socio Unico,Giordano Associati S.r.l Socio Unico,USCITE_CONSULENZE,False,False,,INTUR
723,CO.I.RE.S SRL,CoIrEs SRL,USCITE_MATERIE_PRIME,False,False,,INTUR
1607,LAUDATO GRU DI LAUDATO FRANCESCO,LAUDATO GRU DI LAUDATO FRANCESCO,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1008,MIELE GIUSEPPE E FIGLI SPA,MIELE GIUSEPPE E FIGLI SPA,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1546,Geologo Antonio Apicella,Geologo Antonio Apicella,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1639,MARINO LUIGI GIUSEPPE,MARINO LUIGI GIUSEPPE,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
16,SOFTWARE STUDIO S.R.L.,SOFTWARE STUDIO S.R.L.,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
1069,TOPWHITE DI DANIELE RAVELLI,TOPWHITE DI DANIELE RAVELLI,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
30,4G ENERGIA SRL,4G ENERGIA SRL,USCITE_UTENZE,False,False,,INTUR
92,AMALFI SEI ESSE S.R.L.,AMALFI SEI ESSE S.R.L.,USCITE_MATERIE_PRIME,False,False,,INTUR
412,Alberto D Urso S.a.s. di Tecla Apicella,Alberto D Urso S.a.s. di Tecla Apicella,USCITE_VARIE_EXT,False,False,,INTUR
208,CASA VINICOLA ETTORE SAMMARCO - S.N.C.,Casa Vinicola Sammarco,USCITE_MATERIE_PRIME,False,False,,INTUR
963,CSW Engineering s.r.l,CSW Engineering s.r.l,USCITE_CONSULENZE,False,False,,INTUR
