societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
ORTI,USCITE_CONSULENZE,Consulenze del lavoro,CATEGORIA,,61010191,
ORTI,USCITE_CONSULENZE,Consulenze tecniche,CATEGORIA,,610103,
ORTI,USCITE_CONSULENZE,Consulenze legali,CATEGORIA,,610105,
ORTI,USCITE_CONSULENZE,Consulenze notarili,CATEGORIA,,610107,
ORTI,USCITE_CONSULENZE,Consulenze marketing,CATEGORIA,,610109,
ORTI,USCITE_CONSULENZE,Spese legali,CATEGORIA,,610190,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_COMMISSIONI — Nexi + OTA
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_COMMISSIONI,Nexi,FORNITORE,414,,NEXI PAYMENTS S.p.A.
ORTI,USCITE_COMMISSIONI,Commissioni OTA HOTEL,CATEGORIA,,57010192,
ORTI,USCITE_COMMISSIONI,Commissioni OTA Residence,CATEGORIA,,57010193,
ORTI,USCITE_COMMISSIONI,Commissioni OTA CVM,CATEGORIA,,57010194,
ORTI,USCITE_COMMISSIONI,Commissioni Spiagge/Stripe,CATEGORIA,,57010195,
ORTI,USCITE_COMMISSIONI,Commissioni OTA (nuovo conto),CATEGORIA,,630201,
ORTI,USCITE_COMMISSIONI,Commissioni Nexi,CATEGORIA,,750190,
ORTI,USCITE_COMMISSIONI,Commissioni su transato POS,CATEGORIA,,750195,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_CANONE_PASSIVO — Fitto ramo d'azienda
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_CANONE_PASSIVO,Fitto Ramo d'Azienda,FORNITORE,264,,PANORAMA COMPANY S.R.L.
ORTI,USCITE_CANONE_PASSIVO,Canoni passivi affitto d'azienda,CATEGORIA,,651101,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_SALARI — Personale
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_SALARI,Retribuzioni lorde,CATEGORIA,,670101,
ORTI,USCITE_SALARI,Contributi INPS,CATEGORIA,,670103,
ORTI,USCITE_SALARI,Premi INAIL,CATEGORIA,,670111,
ORTI,USCITE_SALARI,Lavoro occasionale,CATEGORIA,,670201,
ORTI,USCITE_SALARI,Formazione e addestramento,CATEGORIA,,670313,
